config_id,cycles,diffusion_time,coarse_factor,trajectory_samples,mean_absolute_winding,mean_winding_error_from_fine,maximum_winding_error_from_fine,mean_direction_sphere_path_length,mean_direction_path_length_loss,maximum_direction_path_length_loss
n1_k1_b1.25_s0.75_rho0,1,0.0,2,65,0.15285460650920868,6.9474204167363496e-09,1.1920928955078125e-07,1.3321354389190674,0.0023029197473078966,0.008374691009521484
n1_k1_b1.25_s0.75_rho0,1,0.0,4,33,0.15285460650920868,6.859292689398444e-09,1.4901161193847656e-07,1.3237825632095337,0.010650313459336758,0.04107499122619629
n1_k1_b1.25_s0.75_rho0,1,0.0,8,17,0.15285460650920868,7.3292212299236326e-09,1.7881393432617188e-07,1.2929123640060425,0.04150433465838432,0.16575169563293457
n1_k1_b1.25_s0.75_rho0.25,1,0.25,1,129,0.08805835992097855,0.0,0.0,0.7816606163978577,0.0,0.0
n1_k1_b1.25_s0.75_rho0.25,1,0.25,2,65,0.08805835992097855,2.1175834419295825e-09,5.960464477539063e-08,0.7810183167457581,0.0007912573055364192,0.0019690990447998047
n1_k1_b1.25_s0.75_rho0.25,1,0.25,4,33,0.08805835992097855,3.1085596319258e-09,8.940696716308594e-08,0.7781516909599304,0.0036065769381821156,0.009405255317687988
n1_k1_b1.25_s0.75_rho0.25,1,0.25,8,17,0.08805835992097855,2.600688553400232e-09,5.960464477539063e-08,0.7686102986335754,0.013133421540260315,0.0376204252243042
n1_k1_b1.25_s0.75_rho1,1,1.0,1,129,0.02478659152984619,0.0,0.0,0.2715926468372345,0.0,0.0
n1_k1_b1.25_s0.75_rho1,1,1.0,2,65,0.02478659152984619,5.310516471013216e-10,1.1175870895385742e-08,0.2715599536895752,0.00028434774139896035,0.0016617774963378906
n1_k1_b1.25_s0.75_rho1,1,1.0,4,33,0.02478659152984619,6.832287513525159e-10,1.1175870895385742e-08,0.27118054032325745,0.00061211729189381,0.002875387668609619
n1_k1_b1.25_s0.75_rho1,1,1.0,8,17,0.02478659152984619,6.789028228482152e-10,1.1175870895385742e-08,0.2703348994255066,0.0013677816605195403,0.0034468472003936768
n1_k1_b1.25_s1.25_rho0,1,0.0,1,129,0.18504047393798828,0.0,0.0,1.2342514991760254,0.0,0.0
n1_k1_b1.25_s1.25_rho0,1,0.0,2,65,0.18504047393798828,7.027828985428641e-09,1.1920928955078125e-07,1.2320849895477295,0.002298850566148758,0.006220579147338867
n1_k1_b1.25_s1.25_rho0,1,0.0,4,33,0.18504048883914948,7.71512720376677e-09,1.1920928955078125e-07,1.2242259979248047,0.010115130804479122,0.02789020538330078
n1_k1_b1.25_s1.25_rho0,1,0.0,8,17,0.18504047393798828,8.56585469222182e-09,1.1920928955078125e-07,1.1949700117111206,0.0393451526761055,0.10997390747070312
n1_k1_b1.25_s1.25_rho0.25,1,0.25,1,129,0.10972723364830017,0.0,0.0,0.710402250289917,0.0,0.0
n1_k1_b1.25_s1.25_rho0.25,1,0.25,2,65,0.10972723364830017,2.309276991852016e-09,8.940696716308594e-08,0.7096492052078247,0.0009077566210180521,0.003773018717765808
n1_k1_b1.25_s1.25_rho0.25,1,0.25,4,33,0.10972723364830017,3.3570148882944295e-09,8.940696716308594e-08,0.7070275545120239,0.003462714608758688,0.008556127548217773
n1_k1_b1.25_s1.25_rho0.25,1,0.25,8,17,0.10972723364830017,2.7603863639313886e-09,1.1920928955078125e-07,0.6980057954788208,0.012447519227862358,0.03301715850830078
n1_k1_b1.25_s1.25_rho1,1,1.0,1,129,0.03431684523820877,0.0,0.0,0.24663850665092468,0.0,0.0
n1_k1_b1.25_s1.25_rho1,1,1.0,2,65,0.03431684523820877,5.787184620409391e-10,1.4901161193847656e-08,0.24660030007362366,0.00029684664332307875,0.002255648374557495
n1_k1_b1.25_s1.25_rho1,1,1.0,4,33,0.03431684523820877,5.330572094841557e-10,1.4901161193847656e-08,0.24622993171215057,0.0005998805281706154,0.0033136308193206787
n1_k1_b1.25_s1.25_rho1,1,1.0,8,17,0.03431684523820877,5.89119364402535e-10,1.4901161193847656e-08,0.24533860385417938,0.001403437228873372,0.004500985145568848
n1_k1.5_b0.75_s0.75_rho0,1,0.0,1,129,0.32750260829925537,0.0,0.0,3.8708465099334717,0.0,0.0
n1_k1.5_b0.75_s0.75_rho0,1,0.0,2,65,0.32750263810157776,1.8121053102504447e-08,2.086162567138672e-07,3.861558675765991,0.009379202499985695,0.05078601837158203
n1_k1.5_b0.75_s0.75_rho0,1,0.0,4,33,0.32750263810157776,2.0100952013990536e-08,2.384185791015625e-07,3.823610544204712,0.04730398207902908,0.25781822204589844
n1_k1.5_b0.75_s0.75_rho0,1,0.0,8,17,0.32750263810157776,1.8159763470748658e-08,2.384185791015625e-07,3.665339231491089,0.2055567055940628,1.1115226745605469
n1_k1.5_b0.75_s0.75_rho0.25,1,0.25,1,129,0.19849196076393127,0.0,0.0,2.2014057636260986,0.0,0.0
n1_k1.5_b0.75_s0.75_rho0.25,1,0.25,2,65,0.19849196076393127,9.163975356329956e-09,1.341104507446289e-07,2.198293685913086,0.0031318196561187506,0.009589195251464844
n1_k1.5_b0.75_s0.75_rho0.25,1,0.25,4,33,0.19849196076393127,9.773663656176268e-09,1.4901161193847656e-07,2.1860504150390625,0.015365841798484325,0.047713279724121094
n1_k1.5_b0.75_s0.75_rho0.25,1,0.25,8,17,0.19849196076393127,1.1090052431939057e-08,1.1920928955078125e-07,2.1395621299743652,0.06184528395533562,0.19396543502807617
n1_k1.5_b0.75_s0.75_rho1,1,1.0,1,129,0.06454106420278549,0.0,0.0,0.7038162350654602,0.0,0.0
n1_k1.5_b0.75_s0.75_rho1,1,1.0,2,65,0.06454106420278549,1.0105360992440637e-09,2.9802322387695312e-08,0.7033936381340027,0.00045131967635825276,0.0014032721519470215
n1_k1.5_b0.75_s0.75_rho1,1,1.0,4,33,0.06454107165336609,1.03596697886843e-09,4.470348358154297e-08,0.7017037868499756,0.0021218901965767145,0.0034562349319458008
n1_k1.5_b0.75_s0.75_rho1,1,1.0,8,17,0.06454107165336609,1.4340778564658763e-09,2.9802322387695312e-08,0.6961464881896973,0.007669838145375252,0.013371586799621582
n1_k1.5_b0.75_s1.25_rho0,1,0.0,1,129,0.42956268787384033,0.0,0.0,3.5265583992004395,0.0,0.0
n1_k1.5_b0.75_s1.25_rho0,1,0.0,2,65,0.42956268787384033,2.1706981101488054e-08,2.384185791015625e-07,3.5177364349365234,0.008874996565282345,0.03954648971557617
n1_k1.5_b0.75_s1.25_rho0,1,0.0,4,33,0.42956268787384033,1.976373908973983e-08,2.384185791015625e-07,3.4823904037475586,0.044179126620292664,0.20119428634643555
n1_k1.5_b0.75_s1.25_rho0,1,0.0,8,17,0.42956268787384033,1.958762396725433e-08,2.384185791015625e-07,3.3348491191864014,0.19170954823493958,0.8963518142700195
n1_k1.5_b0.75_s1.25_rho0.25,1,0.25,1,129,0.2479390949010849,0.0,0.0,2.0015926361083984,0.0,0.0
n1_k1.5_b0.75_s1.25_rho0.25,1,0.25,2,65,0.2479390949010849,1.023484674789188e-08,1.7881393432617188e-07,1.9987342357635498,0.002891342621296644,0.006895780563354492
