fixture_id,channel,bandwidth,tau,grid_count,odd_count_scaling_exponent,odd_fraction_scaling_exponent,log_log_r_squared,minimum_grid_size,maximum_grid_size
trefoil_T_2_3,curvature_density,0.1,0.003,4,1.1848350582270109,-0.8151649417729891,0.997404619694547,9,65
trefoil_T_2_3,curvature_density,0.1,0.01,4,1.1961682117328527,-0.8038317882671473,0.9952976631730319,9,65
trefoil_T_2_3,curvature_density,0.1,0.03,4,1.1975152794858825,-0.8024847205141175,0.9890784997387163,9,65
trefoil_T_2_3,curvature_density,0.1,0.1,4,1.1707822169702478,-0.8292177830297522,0.9951690167943297,9,65
trefoil_T_2_3,curvature_density,0.1,0.3,4,1.1804640537360567,-0.8195359462639433,0.994375568717355,9,65
trefoil_T_2_3,curvature_density,0.1,1.0,4,1.1829059400783026,-0.8170940599216974,0.9864836280749124,9,65
trefoil_T_2_3,curvature_density,0.18,0.0,4,1.0811675723266423,-0.9188324276733577,0.9980789196407878,9,65
trefoil_T_2_3,curvature_density,0.18,0.0003,4,1.0811675723266423,-0.9188324276733577,0.9980789196407878,9,65
trefoil_T_2_3,curvature_density,0.18,0.001,4,1.082473187609187,-0.9175268123908129,0.9981462387662599,9,65
trefoil_T_2_3,curvature_density,0.18,0.003,4,1.089840318882381,-0.9101596811176189,0.9983242082354395,9,65
trefoil_T_2_3,curvature_density,0.18,0.01,4,1.0679525589426033,-0.9320474410573967,0.9994473429358273,9,65
trefoil_T_2_3,curvature_density,0.18,0.03,4,1.0850138394790538,-0.9149861605209462,0.9995480169279636,9,65
trefoil_T_2_3,curvature_density,0.18,0.1,4,1.1014484427437548,-0.8985515572562452,0.9986642124153646,9,65
trefoil_T_2_3,curvature_density,0.18,0.3,4,1.0628341826007068,-0.9371658173992932,0.9993856534519303,9,65
trefoil_T_2_3,curvature_density,0.18,1.0,4,1.1223466757172957,-0.8776533242827043,0.9968262269646998,9,65
trefoil_T_2_3,signed_turning,0.1,0.0,4,1.2099183651120586,-0.7900816348879414,0.9900507472076729,9,65
trefoil_T_2_3,signed_turning,0.1,0.0003,4,1.2104117669520424,-0.7895882330479576,0.9903077626818552,9,65
trefoil_T_2_3,signed_turning,0.1,0.001,4,1.2113291796089347,-0.7886708203910653,0.9892093872109469,9,65
trefoil_T_2_3,signed_turning,0.1,0.003,4,1.2086713272650262,-0.7913286727349738,0.988534699311024,9,65
trefoil_T_2_3,signed_turning,0.1,0.01,4,1.1957264068199405,-0.8042735931800595,0.9870601945077632,9,65
trefoil_T_2_3,signed_turning,0.1,0.03,4,1.1992579398713183,-0.8007420601286817,0.9899309962031264,9,65
trefoil_T_2_3,signed_turning,0.1,0.1,4,1.1981225846345953,-0.8018774153654047,0.991820835912508,9,65
trefoil_T_2_3,signed_turning,0.1,0.3,4,1.1657209094918102,-0.8342790905081898,0.9906465403166664,9,65
trefoil_T_2_3,signed_turning,0.1,1.0,4,1.1433577291413077,-0.8566422708586923,0.9879706981145888,9,65
trefoil_T_2_3,signed_turning,0.18,0.0,4,1.0987886498586255,-0.9012113501413745,0.9987403957487392,9,65
trefoil_T_2_3,signed_turning,0.18,0.0003,4,1.1021279397253787,-0.8978720602746213,0.9987547235338873,9,65
trefoil_T_2_3,signed_turning,0.18,0.001,4,1.1067874982454373,-0.8932125017545627,0.998626059779375,9,65
trefoil_T_2_3,signed_turning,0.18,0.003,4,1.13346818029778,-0.86653181970222,0.997312820852549,9,65
trefoil_T_2_3,signed_turning,0.18,0.01,4,1.1264391305314834,-0.8735608694685166,0.9949913565452488,9,65
trefoil_T_2_3,signed_turning,0.18,0.03,4,1.1137737143925375,-0.8862262856074625,0.9991090298298747,9,65
trefoil_T_2_3,signed_turning,0.18,0.1,4,1.1180343776638995,-0.8819656223361005,0.9986536299565348,9,65
