atlas_index,vertex_count,edge_count,observable,spectrum_minimum,negative_coefficient_count,translation_kernel_psd
401,7,8,2^nullity,0,0,True
401,7,8,3^nullity,96,0,True
401,7,8,strict_maximum_indicator,0,0,True
402,7,8,2^nullity,0,0,True
402,7,8,3^nullity,96,0,True
402,7,8,strict_maximum_indicator,0,0,True
403,7,8,2^nullity,0,0,True
403,7,8,3^nullity,48,0,True
403,7,8,strict_maximum_indicator,1,0,True
404,7,8,2^nullity,0,0,True
404,7,8,3^nullity,48,0,True
404,7,8,strict_maximum_indicator,1,0,True
405,7,8,2^nullity,0,0,True
405,7,8,3^nullity,96,0,True
405,7,8,strict_maximum_indicator,-1,96,False
406,7,8,2^nullity,0,0,True
406,7,8,3^nullity,96,0,True
406,7,8,strict_maximum_indicator,0,0,True
408,7,8,2^nullity,0,0,True
408,7,8,3^nullity,48,0,True
408,7,8,strict_maximum_indicator,1,0,True
409,7,8,2^nullity,0,0,True
409,7,8,3^nullity,48,0,True
409,7,8,strict_maximum_indicator,1,0,True
410,7,8,2^nullity,0,0,True
410,7,8,3^nullity,96,0,True
410,7,8,strict_maximum_indicator,0,0,True
411,7,8,2^nullity,0,0,True
411,7,8,3^nullity,96,0,True
411,7,8,strict_maximum_indicator,-1,96,False
412,7,8,2^nullity,0,0,True
412,7,8,3^nullity,96,0,True
412,7,8,strict_maximum_indicator,0,0,True
413,7,8,2^nullity,0,0,True
413,7,8,3^nullity,48,0,True
413,7,8,strict_maximum_indicator,1,0,True
414,7,8,2^nullity,0,0,True
414,7,8,3^nullity,96,0,True
414,7,8,strict_maximum_indicator,0,0,True
415,7,8,2^nullity,0,0,True
415,7,8,3^nullity,48,0,True
415,7,8,strict_maximum_indicator,1,0,True
416,7,8,2^nullity,0,0,True
416,7,8,3^nullity,96,0,True
416,7,8,strict_maximum_indicator,-1,96,False
419,7,8,2^nullity,0,0,True
419,7,8,3^nullity,96,0,True
419,7,8,strict_maximum_indicator,0,0,True
420,7,8,2^nullity,0,0,True
420,7,8,3^nullity,48,0,True
420,7,8,strict_maximum_indicator,1,0,True
421,7,8,2^nullity,0,0,True
421,7,8,3^nullity,60,0,True
421,7,8,strict_maximum_indicator,1,0,True
422,7,8,2^nullity,0,0,True
422,7,8,3^nullity,96,0,True
422,7,8,strict_maximum_indicator,0,0,True
423,7,8,2^nullity,0,0,True
423,7,8,3^nullity,48,0,True
423,7,8,strict_maximum_indicator,1,0,True
424,7,8,2^nullity,0,0,True
424,7,8,3^nullity,48,0,True
424,7,8,strict_maximum_indicator,1,0,True
425,7,8,2^nullity,0,0,True
425,7,8,3^nullity,96,0,True
425,7,8,strict_maximum_indicator,0,0,True
426,7,8,2^nullity,0,0,True
426,7,8,3^nullity,96,0,True
426,7,8,strict_maximum_indicator,0,0,True
427,7,8,2^nullity,0,0,True
427,7,8,3^nullity,96,0,True
427,7,8,strict_maximum_indicator,0,0,True
428,7,8,2^nullity,0,0,True
428,7,8,3^nullity,108,0,True
428,7,8,strict_maximum_indicator,0,0,True
429,7,8,2^nullity,0,0,True
429,7,8,3^nullity,48,0,True
429,7,8,strict_maximum_indicator,1,0,True
430,7,8,2^nullity,0,0,True
430,7,8,3^nullity,96,0,True
430,7,8,strict_maximum_indicator,0,0,True
431,7,8,2^nullity,0,0,True
431,7,8,3^nullity,96,0,True
431,7,8,strict_maximum_indicator,-1,96,False
432,7,8,2^nullity,0,0,True
432,7,8,3^nullity,96,0,True
432,7,8,strict_maximum_indicator,0,0,True
433,7,8,2^nullity,0,0,True
433,7,8,3^nullity,60,0,True
433,7,8,strict_maximum_indicator,1,0,True
434,7,8,2^nullity,0,0,True
434,7,8,3^nullity,96,0,True
434,7,8,strict_maximum_indicator,0,0,True
435,7,8,2^nullity,0,0,True
435,7,8,3^nullity,48,0,True
435,7,8,strict_maximum_indicator,1,0,True
436,7,8,2^nullity,0,0,True
436,7,8,3^nullity,48,0,True
436,7,8,strict_maximum_indicator,1,0,True
437,7,8,2^nullity,0,0,True
437,7,8,3^nullity,60,0,True
437,7,8,strict_maximum_indicator,1,0,True
438,7,8,2^nullity,0,0,True
438,7,8,3^nullity,60,0,True
438,7,8,strict_maximum_indicator,1,0,True
439,7,8,2^nullity,0,0,True
439,7,8,3^nullity,96,0,True
439,7,8,strict_maximum_indicator,0,0,True
440,7,8,2^nullity,0,0,True
440,7,8,3^nullity,108,0,True
440,7,8,strict_maximum_indicator,0,0,True
441,7,8,2^nullity,0,0,True
441,7,8,3^nullity,108,0,True
441,7,8,strict_maximum_indicator,0,0,True
442,7,8,2^nullity,0,0,True
442,7,8,3^nullity,96,0,True
442,7,8,strict_maximum_indicator,-1,96,False
443,7,8,2^nullity,0,0,True
443,7,8,3^nullity,60,0,True
443,7,8,strict_maximum_indicator,1,0,True
444,7,8,2^nullity,0,0,True
444,7,8,3^nullity,192,0,True
444,7,8,strict_maximum_indicator,0,0,True
445,7,8,2^nullity,0,0,True
445,7,8,3^nullity,120,0,True
445,7,8,strict_maximum_indicator,0,0,True
446,7,8,2^nullity,0,0,True
446,7,8,3^nullity,72,0,True
446,7,8,strict_maximum_indicator,0,0,True
447,7,8,2^nullity,0,0,True
447,7,8,3^nullity,96,0,True
447,7,8,strict_maximum_indicator,0,0,True
448,7,8,2^nullity,0,0,True
448,7,8,3^nullity,120,0,True
448,7,8,strict_maximum_indicator,-1,96,False
449,7,8,2^nullity,0,0,True
449,7,8,3^nullity,84,0,True
449,7,8,strict_maximum_indicator,0,0,True
450,7,8,2^nullity,0,0,True
450,7,8,3^nullity,48,0,True
