hurst,sample_id,grid_size,periodic_resolution,estimated_hurst,vertex_count,edge_count,odd_degree_vertex_count,odd_degree_vertex_fraction,chromatic_number,main_diagonal_fraction,neighbor_diagonal_sign_agreement,mean_absolute_mixed_curvature
0.75,0,17,32,0.5883175134658813,290,864,148,0.5103448033332825,4,0.4921875,0.45625001192092896,0.44026923179626465
0.75,1,17,32,0.6435348987579346,290,864,148,0.5103448033332825,4,0.53125,0.4125000238418579,0.405381441116333
0.75,2,17,32,0.6678568124771118,290,864,132,0.45517241954803467,4,0.49609375,0.43125003576278687,0.34963688254356384
0.75,3,17,32,0.5669296979904175,290,864,138,0.475862056016922,4,0.515625,0.42916667461395264,0.5280942916870117
0.75,4,17,32,0.625599205493927,290,864,146,0.5034482479095459,4,0.4921875,0.43958336114883423,0.5035794377326965
0.75,5,17,32,0.6110751628875732,290,864,122,0.4206896424293518,4,0.4921875,0.3958333432674408,0.40012848377227783
0.75,6,17,32,0.6384288668632507,290,864,130,0.4482758641242981,4,0.51953125,0.37708336114883423,0.3667451739311218
0.75,7,17,32,0.49988576769828796,290,864,148,0.5103448033332825,4,0.48046875,0.42500001192092896,0.6913766860961914
0.75,8,17,32,0.5753523111343384,290,864,148,0.5103448033332825,4,0.5078125,0.4437500238418579,0.5279900431632996
0.75,9,17,32,0.6042564511299133,290,864,132,0.45517241954803467,4,0.49609375,0.43125003576278687,0.4769505262374878
0.75,10,17,32,0.6871447563171387,290,864,140,0.48275861144065857,4,0.52734375,0.460416704416275,0.32491177320480347
0.75,11,17,32,0.7227275371551514,290,864,122,0.4206896424293518,4,0.47265625,0.44583335518836975,0.34786754846572876
0.75,12,17,32,0.5370916724205017,290,864,142,0.48965516686439514,4,0.51953125,0.45000001788139343,0.5463230609893799
0.75,13,17,32,0.709729790687561,290,864,138,0.475862056016922,4,0.51953125,0.43958336114883423,0.31320008635520935
0.75,14,17,32,0.6858707666397095,290,864,126,0.43448275327682495,4,0.48046875,0.43958336114883423,0.4053537845611572
0.75,15,17,32,0.7196535468101501,290,864,134,0.46206897497177124,4,0.50390625,0.4375000298023224,0.29543009400367737
0.75,0,33,32,0.5883175134658813,1090,3264,546,0.5009174346923828,4,0.4951171875,0.47933465242385864,0.2373574674129486
0.75,1,33,32,0.6435348987579346,1090,3264,554,0.5082569122314453,4,0.4970703125,0.4964717626571655,0.19702090322971344
0.75,2,33,32,0.6678568124771118,1090,3264,556,0.5100917220115662,4,0.4921875,0.484375,0.17502199113368988
0.75,3,33,32,0.5669296979904175,1090,3264,542,0.49724769592285156,4,0.5029296875,0.49042338132858276,0.25903916358947754
0.75,4,33,32,0.625599205493927,1090,3264,514,0.47155964374542236,4,0.50390625,0.48135077953338623,0.23714259266853333
0.75,5,33,32,0.6110751628875732,1090,3264,552,0.5064220428466797,4,0.51171875,0.47731852531433105,0.20445933938026428
0.75,6,33,32,0.6384288668632507,1090,3264,528,0.48440366983413696,4,0.484375,0.4838709533214569,0.19309380650520325
0.75,7,33,32,0.49988576769828796,1090,3264,542,0.49724769592285156,4,0.482421875,0.49697577953338623,0.31760910153388977
0.75,8,33,32,0.5753523111343384,1090,3264,554,0.5082569122314453,4,0.4873046875,0.4692540168762207,0.24805358052253723
0.75,9,33,32,0.6042564511299133,1090,3264,566,0.5192660689353943,4,0.5068359375,0.47782257199287415,0.2305472195148468
0.75,10,33,32,0.6871447563171387,1090,3264,532,0.4880734086036682,4,0.5,0.46421369910240173,0.16967809200286865
0.75,11,33,32,0.7227275371551514,1090,3264,526,0.48256880044937134,4,0.498046875,0.4879032075405121,0.15870051085948944
0.75,12,33,32,0.5370916724205017,1090,3264,528,0.48440366983413696,4,0.5,0.4682459533214569,0.27969202399253845
0.75,13,33,32,0.709729790687561,1090,3264,538,0.4935779869556427,4,0.49609375,0.4853830635547638,0.1537484973669052
0.75,14,33,32,0.6858707666397095,1090,3264,552,0.5064220428466797,4,0.513671875,0.5065523982048035,0.18338724970817566
0.75,15,33,32,0.7196535468101501,1090,3264,552,0.5064220428466797,4,0.5048828125,0.4994959533214569,0.14536228775978088
