size,field_of_view,center_extent,channel,threshold,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_probability,yellow_crossing_probability,both_winners,neither_winners,u1_board_mismatch_count
7,2.0,2.0,h_x,-0.2,100000,0.5770757142857142,0.9599104166666665,0.58241,0.41759,0,0,0
7,2.0,2.0,h_x,-0.1,100000,0.5375851020408163,0.9600823333333335,0.54003,0.45997,0,0,0
7,2.0,2.0,h_x,0.0,100000,0.4989944897959184,0.9602163333333333,0.49842,0.50158,0,0,0
7,2.0,2.0,h_x,0.1,100000,0.4605955102040816,0.9602534999999999,0.45794,0.54206,0,0,0
7,2.0,2.0,h_x,0.2,100000,0.42099183673469387,0.9600565000000001,0.41444,0.58556,0,0,0
7,2.0,2.0,h_x,0.4,100000,0.3357312244897959,0.9602051666666668,0.32406,0.67594,0,0,0
7,2.0,2.0,h_x,0.6,100000,0.24068816326530612,0.962147,0.22162,0.77838,0,0,0
7,2.0,2.0,h_y,-0.6,100000,0.761445918367347,0.9620547500000001,0.78064,0.21936,0,0,0
7,2.0,2.0,h_y,-0.4,100000,0.6659110204081633,0.9599925000000001,0.67773,0.32227,0,0,0
7,2.0,2.0,h_y,-0.2,100000,0.579814693877551,0.9598990833333331,0.58608,0.41392,0,0,0
7,2.0,2.0,h_y,-0.1,100000,0.5401202040816326,0.9599548333333331,0.54439,0.45561,0,0,0
7,2.0,2.0,h_y,0.0,100000,0.5011210204081633,0.9599495833333335,0.5022,0.4978,0,0,0
7,2.0,2.0,h_y,0.1,100000,0.46202,0.9599225833333334,0.45944,0.54056,0,0,0
7,2.0,2.0,h_y,0.2,100000,0.4221334693877551,0.9597602500000001,0.41708,0.58292,0,0,0
7,2.0,2.0,h_y,0.4,100000,0.33596489795918366,0.9599104166666664,0.32309,0.67691,0,0,0
7,2.0,2.0,h_y,0.6,100000,0.24011897959183673,0.9620760833333334,0.22088,0.77912,0,0,0
7,2.0,2.0,h_z,-0.6,100000,0.9150957142857142,0.9677197500000001,0.95771,0.04229,0,0,0
7,2.0,2.0,h_z,-0.4,100000,0.8469989795918368,0.9565444166666666,0.8951,0.1049,0,0,0
7,2.0,2.0,h_z,-0.2,100000,0.7543148979591837,0.9467681666666666,0.8011,0.1989,0,0,0
7,2.0,2.0,h_z,-0.1,100000,0.6975477551020408,0.94336425,0.7407,0.2593,0,0,0
7,2.0,2.0,h_z,0.0,100000,0.6341263265306123,0.9413295000000004,0.67073,0.32927,0,0,0
7,2.0,2.0,h_z,0.1,100000,0.5647861224489796,0.9408799166666669,0.59435,0.40565,0,0,0
7,2.0,2.0,h_z,0.2,100000,0.49088489795918366,0.9415837500000003,0.51228,0.48772,0,0,0
7,2.0,2.0,h_z,0.4,100000,0.3316351020408163,0.9448093333333332,0.33948,0.66052,0,0,0
7,2.0,2.0,h_z,0.6,100000,0.16235122448979591,0.9570394166666664,0.15074,0.84926,0,0,0
7,4.0,2.0,h_x,-0.6,100000,0.7699681632653061,0.9285220833333335,0.82219,0.17781,0,0,0
7,4.0,2.0,h_x,-0.4,100000,0.67014,0.9246067499999999,0.70166,0.29834,0,0,0
7,4.0,2.0,h_x,-0.2,100000,0.5816848979591837,0.9232968333333333,0.59506,0.40494,0,0,0
7,4.0,2.0,h_x,-0.1,100000,0.5398781632653061,0.9230973333333332,0.54633,0.45367,0,0,0
7,4.0,2.0,h_x,0.0,100000,0.4987218367346939,0.9230262500000004,0.49803,0.50197,0,0,0
7,4.0,2.0,h_x,0.1,100000,0.45753163265306124,0.9231250833333333,0.44881,0.55119,0,0,0
7,4.0,2.0,h_x,0.2,100000,0.41570632653061224,0.9234781666666668,0.39959,0.60041,0,0,0
7,4.0,2.0,h_x,0.4,100000,0.32778326530612245,0.9251309166666665,0.29527,0.70473,0,0,0
7,4.0,2.0,h_x,0.6,100000,0.2289377551020408,0.9290929999999998,0.17651,0.82349,0,0,0
