fixture_id,p,q,tau,is_projection_fall_state,projection_crossings,inflation_level,scale_regime,cell_scale,occupied_tetrahedra,itinerary_transitions,unique_transition_pairs,occupied_type_simplex_classes,occupancy_entropy,maximum_cell_curvature_fraction,mean_cell_diameter,positive_space_form_force_mean_per_mv2,positive_space_form_force_max_per_mv2,negative_space_form_force_mean_per_mv2,negative_space_form_force_min_per_mv2,space_form_force_asymmetry_ratio,visited_defect_class_count,minimum_visited_bounded_relation_residual,median_visited_bounded_relation_residual,nonzero_projected_winding_count,nonzero_projected_winding_fraction,maximum_absolute_projected_winding,total_polygonal_turning,tangent_holonomy_angle
trefoil_2_3,2,3,0.5,False,3,0,mesoscopic,0.18,102,115,115,39,4.3088414289223245,0.23599826721236014,0.5119846152599796,1.008313223977216,1.360074893865749,-0.9671530821086578,-1.304555562915624,1.0425580423926455,39,0.00021040931346040742,0.0015844813345791177,31,0.30392156862745096,1,12.528043723936285,-2.5062267839577315
trefoil_2_3,2,3,0.5,False,3,1,macroscopic,0.29124611797498107,62,71,71,24,3.631544037047478,0.3108654408365145,0.8012195023099185,0.6452690223060518,0.840572511654435,-0.6189286313740143,-0.806259678094604,1.0425580423926457,24,0.0003872277528176844,0.0016327790973718697,14,0.22580645161290322,1,12.528043723936285,-2.5062267839577315
trefoil_2_3,2,3,0.5,False,3,2,macroscopic,0.47124611797498106,35,44,44,17,3.142881193199682,0.31014328241713746,1.342677160754688,0.3840109099380399,0.5195023822113088,-0.3683352814167968,-0.49829588482101517,1.0425580423926457,17,0.0003872277528176844,0.001959909055591529,3,0.08571428571428572,1,12.528043723936285,-2.5062267839577315
trefoil_2_3,2,3,0.6020136074640411,True,0,-2,microscopic,0.06875388202501892,205,207,207,48,4.993679727160837,0.3244143905943688,0.2051492933602926,2.523151440377272,3.5607222993859393,-2.420154406546709,-3.415370803925858,1.0425580423926457,48,0.00021040931345984198,0.0015499711582184208,103,0.5024390243902439,1,10.087813485290042,-3.1005257832573876
trefoil_2_3,2,3,0.6020136074640411,True,0,-1,microscopic,0.11124611797498106,145,154,154,44,4.616494136297888,0.3204138810625664,0.3271611721421589,1.5775329011857813,2.2006474055201837,-1.5131367626932128,-2.110815241010228,1.0425580423926457,44,0.00021040931345984198,0.0015844813345791177,79,0.5448275862068965,1,10.087813485290042,-3.1005257832573876
trefoil_2_3,2,3,0.6020136074640411,True,0,0,mesoscopic,0.18,94,98,98,35,4.05868139956426,0.32666339716544884,0.5078971339808467,1.0163774345287444,1.360074893865749,-0.9748881052187582,-1.304555562915624,1.042558042392646,35,0.00021040931346040742,0.0015154609818577242,48,0.5106382978723404,1,10.087813485290042,-3.1005257832573876
trefoil_2_3,2,3,0.6020136074640411,True,0,1,macroscopic,0.29124611797498107,53,60,60,21,3.6080065242561368,0.327776806841122,0.7905378706867459,0.6531926151427527,0.840572511654435,-0.6265287768954247,-0.806259678094604,1.0425580423926457,21,0.0003872277528176844,0.001630607534205139,21,0.3962264150943396,1,10.087813485290042,-3.1005257832573876
trefoil_2_3,2,3,0.6020136074640411,True,0,2,macroscopic,0.47124611797498106,39,43,43,18,3.3417384231544753,0.3275199996281388,1.3292891786940504,0.3883698561977353,0.5195023822113088,-0.37251629204877246,-0.49829588482101517,1.0425580423926457,18,0.0003872277528176844,0.0016349506605386002,14,0.358974358974359,1,10.087813485290042,-3.1005257832573876
trefoil_2_3,2,3,2.5,False,0,-2,microscopic,0.06875388202501892,216,216,216,39,5.21125320430867,0.015742776345283593,0.21274181683089807,2.426814527736277,3.5607222993859344,-2.327750042737952,-3.4153708039258532,1.042558042392646,39,0.00021040931345984198,0.0015154609818577242,102,0.4722222222222222,1,6.283185307180436,4.822547495972092e-10
trefoil_2_3,2,3,2.5,False,0,-1,microscopic,0.11124611797498106,146,146,146,45,4.775413184569926,0.021281857060425253,0.3345416398480117,1.5476485358501528,2.2006474055201837,-1.4844723007443656,-2.110815241010228,1.0425580423926457,45,0.00021040931345984198,0.0015154609818577242,71,0.48630136986301364,1,6.283185307180436,4.822547495972092e-10
trefoil_2_3,2,3,2.5,False,0,0,mesoscopic,0.18,86,86,86,36,4.20764274016395,0.03108346494512223,0.5182645505920205,1.0057886339789437,1.3600748938657492,-0.964731547867285,-1.3045555629156242,1.0425580423926457,36,0.00021040931345984198,0.0016327790973718697,47,0.5465116279069767,1,6.283185307180436,4.822547495972092e-10
trefoil_2_3,2,3,2.5,False,0,1,macroscopic,0.29124611797498107,60,60,60,19,3.829011782454478,0.046318461250731364,0.8176695436495443,0.629584279085809,0.840572511654435,-0.6038841517551657,-0.806259678094604,1.042558042392646,19,0.0003872277528176844,0.0016349506605386002,20,0.3333333333333333,1,6.283185307180436,4.822547495972092e-10
trefoil_2_3,2,3,2.5,False,0,2,macroscopic,0.47124611797498106,40,40,40,19,3.488705747990942,0.06188999276834281,1.2781806149228159,0.40278639849449205,0.5195023822113088,-0.38634433970707943,-0.49829588482101517,1.0425580423926457,19,0.0003872277528176844,0.0016349506605386002,16,0.4,1,6.283185307180436,4.822547495972092e-10
cinquefoil_2_5,2,5,0.0,False,5,-2,microscopic,0.06875388202501892,415,415,415,48,5.958894756286927,0.00676545425147363,0.20917755428728782,2.473047320298163,3.560722299385938,-2.372095576206557,-3.415370803925857,1.0425580423926457,48,0.00021040931345984198,0.0015499711582184208,294,0.7084337349397591,2,26.109650555790502,1.0240156618267469
cinquefoil_2_5,2,5,0.0,False,5,-1,microscopic,0.11124611797498106,336,336,336,45,5.6598300133100246,0.01384222452796813,0.3402102073967932,1.5208454272778742,2.2006474055201832,-1.4587633162251288,-2.1108152410102274,1.0425580423926457,45,0.00021040931345984198,0.0015844813345791177,240,0.7142857142857142,2,26.109650555790502,1.0240156618267469
cinquefoil_2_5,2,5,0.0,False,5,0,mesoscopic,0.18,235,236,236,46,5.2580778842615095,0.01724822032494427,0.5407770899965393,0.9576550308306523,1.3600748938657492,-0.9185627964011067,-1.3045555629156242,1.0425580423926457,46,0.00021040931345984198,0.0015499711582184208,164,0.6978723404255319,2,26.109650555790502,1.0240156618267469
cinquefoil_2_5,2,5,0.0,False,5,1,macroscopic,0.29124611797498107,161,161,161,36,4.844958398205826,0.026086769787519802,0.8939534872936663,0.5777783735963623,0.840572511654435,-0.55419300422869,-0.806259678094604,1.0425580423926457,36,0.00021040931345984198,0.0010658867965583872,102,0.6335403726708074,2,26.109650555790502,1.0240156618267469
