family,hurst,size,nominal_probability,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_count,yellow_crossing_count,both_winners,neither_winners,blue_crossing_probability,ci95_low,ci95_high,elapsed_seconds,samples_per_second
fractional_gaussian,0.5,6,0.4,200000,0.40469319444444446,0.7030833529411764,60428,139572,0,0,0.30214,0.30012753035226786,0.3041524696477322,0.21092869999120012,948187.7051740419
fractional_gaussian,0.5,6,0.45,200000,0.4524477777777778,0.6965693529411765,79786,120214,0,0,0.39893,0.3967838901480211,0.4010761098519789,0.19812270000693388,1009475.4411937674
fractional_gaussian,0.5,6,0.475,200000,0.47624333333333335,0.6951608235294119,89668,110332,0,0,0.44834,0.44616038110156037,0.45051961889843967,0.15835990000050515,1262945.985690582
fractional_gaussian,0.5,6,0.5,200000,0.5001405555555556,0.6947519411764705,99872,100128,0,0,0.49936,0.4971686551772021,0.501551344822798,0.19320999999763444,1035143.1085474286
fractional_gaussian,0.5,6,0.525,200000,0.5239879166666667,0.6953757647058825,110104,89896,0,0,0.55052,0.5483398678961685,0.5527001321038315,0.1712478999979794,1167897.533355795
fractional_gaussian,0.5,6,0.55,200000,0.5473895833333333,0.6968009411764705,120127,79873,0,0,0.600635,0.5984884975334619,0.6027815024665382,0.20608940001693554,970452.6287308559
fractional_gaussian,0.5,6,0.6,200000,0.5950261111111111,0.7029984705882352,139616,60384,0,0,0.69808,0.6960679460902778,0.7000920539097223,0.17447790000005625,1146276.978344739
fractional_gaussian,0.5,6,0.65,200000,0.6430556944444444,0.713973294117647,157101,42899,0,0,0.785505,0.7837060291056608,0.7873039708943392,0.16722570001729764,1195988.4155324942
fractional_gaussian,0.5,6,0.7,200000,0.6916590277777778,0.7296877647058823,172590,27410,0,0,0.86295,0.8614427912386202,0.8644572087613798,0.22280240000691265,897656.3986464904
fractional_gaussian,0.5,6,0.75,200000,0.7407961111111111,0.7510155882352941,185044,14956,0,0,0.92522,0.9240671937828356,0.9263728062171644,0.18363549999776296,1089114.0329753037
fractional_gaussian,0.8,6,0.25,200000,0.26223416666666666,0.7727798823529411,17394,182606,0,0,0.08697,0.08573499609050303,0.08820500390949698,0.1737715999770444,1150936.0564466256
fractional_gaussian,0.8,6,0.3,200000,0.31167194444444446,0.7544278235294118,30352,169648,0,0,0.15176,0.1501875418106356,0.15333245818936442,0.2396314999787137,834614.8149044089
fractional_gaussian,0.8,6,0.35,200000,0.35988472222222223,0.741209588235294,45633,154367,0,0,0.228165,0.22632580481863881,0.2300041951813612,0.25974109998787753,769997.509093995
fractional_gaussian,0.8,6,0.4,200000,0.4066838888888889,0.7325725294117647,62473,137527,0,0,0.312365,0.31033380675588607,0.31439619324411394,0.21780620000208728,918247.5062605351
fractional_gaussian,0.8,6,0.45,200000,0.4536172222222222,0.727256294117647,81011,118989,0,0,0.405055,0.40290352411923913,0.40720647588076087,0.17527160001918674,1141086.1769853546
fractional_gaussian,0.8,6,0.475,200000,0.47665555555555555,0.7257381764705882,90126,109874,0,0,0.45063,0.44844936190981977,0.4528106380901802,0.19441540000843816,1028725.0906631855
fractional_gaussian,0.8,6,0.5,200000,0.50032125,0.7255708823529411,100643,99357,0,0,0.503215,0.5010236986830218,0.5054063013169782,0.194283600023482,1029422.967125517
